Ano;18 anos;19 anos;20 - 24 anos;25 - 29 anos;30 - 34 anos;35 - 39 anos;40 - 44 anos;45 - 49 anos;50 - 54 anos;55 - 59 anos;60 - 64 anos;65 - 69 anos;70 - 74 anos;75 - 79 anos;80 - 84 anos;85 e mais anos
2023;31906;30664;159919;162753;181468;184840;208060;237294;214608;192893;180213;168088;158399;138384;95610;94742
2022;30139;30976;158759;161762;177470;183215;209950;235824;207708;189805;176905;164814;159833;133341;92580;91585
2021;30655;30664;157086;161753;171581;184608;215295;230527;200456;186129;173731;162373;157877;128354;91272;89786
2020;30624;30404;158531;165775;171557;190361;223611;226619;196549;183387;171983;161955;155047;123244;91418;87645
2019;30421;32946;157528;169414;172275;197457;229833;220719;194131;182366;169153;162094;151402;117698;90136;85328
2018;32608;31683;154001;166445;170846;199609;232938;213032;192661;178563;166535;162148;148785;113528;87643;82228
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Totais;;;;;;;;;;;;;;;;
2018;2 333 253;;;;;;;;;;;;;;;
2019;2 362 901;;;;;;;;;;;;;;;
2020;2 368 710;;;;;;;;;;;;;;;
2021;2 372 147;;;;;;;;;;;;;;;
2022;2 404 666;;;;;;;;;;;;;;;
2023;2 439 841;;;;;;;;;;;;;;;
