"Trimestre","Taxa","Ano","Trimestre_Num","Trimestre_Label","Taxa_Percentual"
"1.º Trimestre de 2018",0.07,2018,1,"1T 2018","7.00%"
"2.º Trimestre de 2018",0.07,2018,2,"2T 2018","7.00%"
"3.º Trimestre de 2018",0.066,2018,3,"3T 2018","6.60%"
"4.º Trimestre de 2018",0.071,2018,4,"4T 2018","7.10%"
"1.º Trimestre de 2019",0.08,2019,1,"1T 2019","8.00%"
"2.º Trimestre de 2019",0.076,2019,2,"2T 2019","7.60%"
"3.º Trimestre de 2019",0.078,2019,3,"3T 2019","7.80%"
"4.º Trimestre de 2019",0.069,2019,4,"4T 2019","6.90%"
"1.º Trimestre de 2020",0.069,2020,1,"1T 2020","6.90%"
"2.º Trimestre de 2020",0.068,2020,2,"2T 2020","6.80%"
"3.º Trimestre de 2020",0.069,2020,3,"3T 2020","6.90%"
"4.º Trimestre de 2020",0.068,2020,4,"4T 2020","6.80%"
"1.º Trimestre de 2021",0.071,2021,1,"1T 2021","7.10%"
"2.º Trimestre de 2021",0.078,2021,2,"2T 2021","7.80%"
"3.º Trimestre de 2021",0.096,2021,3,"3T 2021","9.60%"
"4.º Trimestre de 2021",0.065,2021,4,"4T 2021","6.50%"
"1.º Trimestre de 2022",0.071,2022,1,"1T 2022","7.10%"
"2.º Trimestre de 2022",0.071,2022,2,"2T 2022","7.10%"
"3.º Trimestre de 2022",0.064,2022,3,"3T 2022","6.40%"
"4.º Trimestre de 2022",0.072,2022,4,"4T 2022","7.20%"
"1.º Trimestre de 2023",0.079,2023,1,"1T 2023","7.90%"
"2.º Trimestre de 2023",0.067,2023,2,"2T 2023","6.70%"
"3.º Trimestre de 2023",0.072,2023,3,"3T 2023","7.20%"
"4.º Trimestre de 2023",0.073,2023,4,"4T 2023","7.30%"
"1.º Trimestre de 2024",0.087,2024,1,"1T 2024","8.70%"
