"Trimestre","Valor","Ano","Trimestre_Num","Trimestre_Label"
"1.º Trimestre de 2020",8.4,2020,1,"1T 2020"
"2.º Trimestre de 2020",8.4,2020,2,"2T 2020"
"3.º Trimestre de 2020",8.7,2020,3,"3T 2020"
"4.º Trimestre de 2020",8.67,2020,4,"4T 2020"
"1.º Trimestre de 2021",8.53,2021,1,"1T 2021"
"2.º Trimestre de 2021",8.82,2021,2,"2T 2021"
"3.º Trimestre de 2021",9.02,2021,3,"3T 2021"
"4.º Trimestre de 2021",9.2,2021,4,"4T 2021"
"1.º Trimestre de 2022",9.11,2022,1,"1T 2022"
"2.º Trimestre de 2022",9.95,2022,2,"2T 2022"
"3.º Trimestre de 2022",10.13,2022,3,"3T 2022"
"4.º Trimestre de 2022",10.38,2022,4,"4T 2022"
"1.º Trimestre de 2023",10.26,2023,1,"1T 2023"
"2.º Trimestre de 2023",11.03,2023,2,"2T 2023"
"3.º Trimestre de 2023",11.4,2023,3,"3T 2023"
"4.º Trimestre de 2023",11.67,2023,4,"4T 2023"
