"Trimestre","Valor","Ano","Trimestre_Num","Trimestre_Label"
"Trimestre_1",1875,2020,1,"1T 2020"
"Trimestre_2",1905,2020,2,"2T 2020"
"Trimestre_3",1947,2020,3,"3T 2020"
"Trimestre_4",1995,2020,4,"4T 2020"
"Trimestre_5",1998,2021,1,"1T 2021"
"Trimestre_6",2053,2021,2,"2T 2021"
"Trimestre_7",2092,2021,3,"3T 2021"
"Trimestre_8",2161,2021,4,"4T 2021"
"Trimestre_9",2241,2022,1,"1T 2022"
"Trimestre_10",2319,2022,2,"2T 2022"
"Trimestre_11",2395,2022,3,"3T 2022"
"Trimestre_12",2454,2022,4,"4T 2022"
"Trimestre_13",2537,2023,1,"1T 2023"
"Trimestre_14",2615,2023,2,"2T 2023"
"Trimestre_15",2691,2023,3,"3T 2023"
"Trimestre_16",2740,2023,4,"4T 2023"
